case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,fix_steps
CASE_001,"PC-1 cannot ping PC-2 or access gateway
 services in VLAN 20.",SW1 connected to PC-1 on Fa0/1 (intended VLAN 20) and PC-2 on Fa0/2 (VLAN 20). Subnet: 192.168.20.0/24.,"SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/3, Fa0/4
20   Engineering                      active    Fa0/2

PC-1> ping 192.168.20.2
Pinging 192.168.20.2 with 32 bytes of data:
Request timed out.
Request timed out.
Ping statistics for 192.168.20.2:
    Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)",Switch port Fa0/1 on SW1 is assigned to default VLAN 1 instead of access VLAN 20.,Layer 2,VLAN,Medium,"SW1# configure terminal
SW1(config)# interface FastEthernet0/1
SW1(config-if)# switchport mode access
SW1(config-if)# switchport access vlan 20
SW1(config-if)# end
SW1# write memory"
CASE_002,CDP native VLAN mismatch warnings logged on SW1 and SW2; un-tagged traffic leaking across VLAN boundaries.,"SW1 connected to SW2 via trunk link on Gig0/1. SW1 native VLAN 10, SW2 native VLAN 20.","%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (10), with SW2 GigabitEthernet0/1 (20).

SW1# show interfaces gigabitEthernet 0/1 switchport
Name: Gi0/1
Administrative Mode: trunk
Operational Mode: trunk
Administrative Native VLAN: 10
Operational Native VLAN: 10

SW2# show interfaces gigabitEthernet 0/1 switchport
Administrative Native VLAN: 20
Operational Native VLAN: 20",802.1Q Native VLAN mismatch across trunk link Gig0/1 between SW1 (VLAN 10) and SW2 (VLAN 20).,Layer 2,VLAN,High,"SW2# configure terminal
SW2(config)# interface GigabitEthernet0/1
SW2(config-if)# switchport trunk native vlan 10
SW2(config-if)# end
SW2# write memory"
CASE_003,Hosts in VLAN 30 on SW2 cannot communicate with VLAN 30 hosts or gateway on SW1.,SW1 and SW2 trunked via Gig0/1. SW1 configured with restricted allowed VLAN list on trunk.,"SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1
Port        Vlans allowed on trunk
Gi0/1       10,20

PC-VLAN30> ping 192.168.30.1
Request timed out.",Trunk interface Gig0/1 on SW1 omits VLAN 30 from its switchport trunk allowed vlan list.,Layer 2,VLAN,Medium,"SW1# configure terminal
SW1(config)# interface GigabitEthernet0/1
SW1(config-if)# switchport trunk allowed vlan add 30
SW1(config-if)# end
SW1# write memory"
CASE_004,Inter-switch link fails to form a trunk; VLAN traffic across switches is isolated.,"SW1 Gig0/1 configured as static trunk, SW2 Gig0/1 misconfigured as static access.","SW1# show interfaces gigabitEthernet 0/1 switchport
Administrative Mode: trunk
Operational Mode: trunk

SW2# show interfaces gigabitEthernet 0/1 switchport
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 1 (default)","Switchport mode mismatch on inter-switch link Gig0/1 (SW1 is trunk, SW2 is access).",Layer 2,VLAN,High,"SW2# configure terminal
SW2(config)# interface GigabitEthernet0/1
SW2(config-if)# switchport mode trunk
SW2(config-if)# end
SW2# write memory"
CASE_005,Port Fa0/5 stays inactive/inactive for VLAN 40 traffic; frame forwarding fails.,SW1 Fa0/5 assigned to VLAN 40 (Executive). Subnet 10.40.0.0/24.,"SW1# show running-config interface FastEthernet0/5
interface FastEthernet0/5
 switchport access vlan 40
 switchport mode access
!
SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Sales                            active    Fa0/6",Access VLAN 40 is assigned to port Fa0/5 but has not been defined in the SW1 VLAN database.,Layer 2,VLAN,Medium,"SW1# configure terminal
SW1(config)# vlan 40
SW1(config-vlan)# name Executive
SW1(config-vlan)# end
SW1# write memory"
CASE_006,PC-1 can ping local LAN hosts but cannot reach external networks or remote subnets.,"PC-1 IP: 192.168.1.50/24, Gateway R1 Gi0/0 IP: 192.168.1.1.","PC-1> ipconfig
FastEthernet0 Connection:
   IP Address......................: 192.168.1.50
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 192.168.1.254

PC-1> ping 192.168.1.1
Request timed out.
PC-1> ping 8.8.8.8
Request timed out.",Incorrect default gateway IP address (192.168.1.254) configured on PC-1 instead of 192.168.1.1.,Layer 3,Gateway,High,"On PC-1 Network Settings:
Change Default Gateway to 192.168.1.1
Or via Command Line:
PC-1> ipconfig /setgateway 192.168.1.1"
CASE_007,PC-1 (10.0.1.50) cannot communicate with Gateway R1 (10.0.1.1) despite being on the same switch.,R1 Gi0/0 subnet: 10.0.1.0/24 (255.255.255.0). PC-1 incorrectly configured with /28 mask.,"R1# show ip interface GigabitEthernet0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 10.0.1.1/24

PC-1> ipconfig
   IP Address......................: 10.0.1.50
   Subnet Mask.....................: 255.255.255.240
   Default Gateway.................: 10.0.1.1

PC-1> ping 10.0.1.1
Destination host unreachable.",Subnet mask mismatch on PC-1 (255.255.255.240 /28) places default gateway 10.0.1.1 outside its local subnet (10.0.1.48-10.0.1.63).,Layer 3,Gateway,Medium,"On PC-1 Interface Configuration:
Set Subnet Mask to 255.255.255.0 (/24)"
CASE_008,All hosts in VLAN 10 lose gateway connectivity and cross-VLAN communication.,Router-on-a-stick topology. Router R1 subinterface Gi0/0.10 acts as default gateway for VLAN 10.,"R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual administratively down down
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up

PC-VLAN10> ping 192.168.10.1
Request timed out.",Router subinterface GigabitEthernet0/0.10 is administratively down.,Layer 3,Gateway,Critical,"R1# configure terminal
R1(config)# interface GigabitEthernet0/0.10
R1(config-subif)# no shutdown
R1(config-subif)# end
R1# write memory"
CASE_009,Host PC-1 has static IP but cannot ARP or ping gateway R1.,R1 interface Gi0/0 configured as 172.16.1.1/24. PC-1 assigned 172.16.2.10/24.,"R1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     172.16.1.1      YES manual up                    up

PC-1> ipconfig
   IP Address......................: 172.16.2.10
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 172.16.1.1

PC-1> ping 172.16.1.1
Destination host unreachable.",Host PC-1 IP address (172.16.2.10) is in a completely different IP subnet than gateway R1 (172.16.1.1/24).,Layer 3,Gateway,High,"On PC-1 IP Settings:
Reconfigure IP Address to 172.16.1.10
Subnet Mask: 255.255.255.0
Default Gateway: 172.16.1.1"
CASE_010,"New client PCs fail to obtain dynamic IP address, defaulting to APIPA (169.254.x.x).",R1 provides DHCP services for LAN subnet 192.168.5.0/24. Scope pool small range.,"R1# show ip dhcp pool LAN_POOL
Pool LAN_POOL :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (Current/Total)    : 5 / 5
 Total addresses                : 5
 Leased addresses               : 5
 Pending addresses              : 0
 Excluded addresses             : 0

PC-NEW> ipconfig /renew
DHCP request failed. APIPA address assigned: 169.254.45.12.",DHCP server pool LAN_POOL address range is exhausted (only 5 addresses allocated).,Layer 7,DHCP,High,"R1# configure terminal
R1(config)# ip dhcp pool LAN_POOL
R1(config-dhcp)# network 192.168.5.0 255.255.255.0
R1(config-dhcp)# end
R1# write memory"
